year_month,count
2014-01,4599
2014-02,4664
2014-03,4413
2014-04,3890
2014-05,4402
2014-06,4599
2014-07,4185
2014-08,3929
2014-09,4574
2014-10,4929
2014-11,4835
2014-12,4592
2015-01,4898
2015-02,5518
2015-03,4406
2015-04,4241
2015-05,4937
2015-06,4841
2015-07,5244
2015-08,4661
2015-09,5152
2015-10,5188
2015-11,5016
2015-12,4751
2016-01,4968
2016-02,4536
2016-03,4560
2016-04,4850
2016-05,5143
2016-06,5332
2016-07,5045
2016-08,5204
2016-09,5356
2016-10,5495
2016-11,5543
2016-12,5978
2017-01,4705
2017-02,4455
2017-03,4932
2017-04,4930
2017-05,5648
2017-06,5855
2017-07,5206
2017-08,5251
2017-09,5643
2017-10,5729
2017-11,5811
2017-12,6236
2018-01,5895
2018-02,4990
2018-03,4698
2018-04,4647
2018-05,5630
2018-06,5414
2018-07,5118
2018-08,5236
2018-09,5358
2018-10,5589
2018-11,6146
2018-12,5356
2019-01,6022
2019-02,5455
2019-03,5310
2019-04,4503
2019-05,5575
2019-06,5675
2019-07,5262
2019-08,5409
2019-09,5043
2019-10,5413
2019-11,5715
2019-12,5605
2020-01,4935
2020-02,4820
2020-03,2979
2020-04,1165
2020-05,1936
2020-06,2724
2020-07,3018
2020-08,3158
2020-09,3188
2020-10,3117
2020-11,2842
2020-12,2533
2021-01,2003
2021-02,2208
2021-03,2347
2021-04,1902
2021-05,2409
2021-06,2974
2021-07,3091
2021-08,3426
2021-09,3605
2021-10,3850
2021-11,4189
2021-12,3695
2022-01,3769
2022-02,4019
2022-03,3384
2022-04,3322
2022-05,3851
2022-06,4208
2022-07,4011
2022-08,4149
2022-09,4423
2022-10,4481
2022-11,4389
2022-12,4701
2023-01,4208
2023-02,4096
2023-03,4708
2023-04,4425
2023-05,5042
2023-06,5106
2023-07,4874
2023-08,4695
2023-09,4942
2023-10,5087
2023-11,5026
2023-12,4940
2024-01,4810
2024-02,4363
2024-03,4754
2024-04,4391
2024-05,5180
2024-06,5064
2024-07,4921
2024-08,4716
2024-09,5168
2024-10,5168
2024-11,4818
2024-12,5363
2025-01,4544
2025-02,5329
2025-03,4182
2025-04,4536
2025-05,4746
2025-06,4687
2025-07,4858
2025-08,4727
2025-09,4213
