metric,count,mean,std,min,5%,25%,50%,75%,95%,max
wx_precip_day,646447.0,0.414024660954417,0.49255316095975354,0.0,0.0,0.0,0.0,1.0,1.0,1.0
wx_precipitation,646447.0,2.4024102517298402,6.142182647317664,0.0,0.0,0.0,0.0,1.6,13.8,128.3
wx_rain,646447.0,1.9953555357206392,5.893795841944871,0.0,0.0,0.0,0.0,0.6,12.2,128.3
wx_snow,646447.0,0.43133435532998066,1.905578150070176,0.0,0.0,0.0,0.0,0.0,2.6,29.2
wx_snow_on_ground,169373.0,5.80919036682352,7.99552539051865,0.0,0.0,0.0,2.0,9.0,20.0,50.0
wx_max_temperature,635121.0,13.59126024804722,11.69404831025783,-19.1,-5.6,3.7,14.2,24.0,30.2,36.0
wx_avg_temperature,635121.0,9.031552412847315,10.93615249815135,-22.3,-9.8,0.59,9.14,18.85,24.4,30.45
wx_avg_hourly_temperature,635121.0,9.17888041806207,10.88563995985628,-21.95,-9.26,0.61,9.31,19.0,24.5,29.95
wx_min_temperature,635121.0,4.4734606476561165,10.429835023012267,-26.3,-14.0,-2.8,4.5,13.7,19.4,25.0
wx_max_humidex,186069.0,31.487921147531292,4.493276467270685,25.0,25.0,28.0,31.0,35.0,39.0,46.0
wx_min_windchill,211680.0,-13.500675547996977,7.350297944106854,-41.0,-27.0,-18.0,-12.0,-8.0,-4.0,-1.0
wx_max_wind_speed,635121.0,28.559159593211373,9.895586123502188,8.0,16.0,21.0,27.0,35.0,47.0,80.0
wx_avg_hourly_wind_speed,635121.0,16.39758653862807,6.440381980643949,4.88,8.17,11.42,15.17,20.25,28.54,45.88
wx_max_relative_humidity,635121.0,85.80420108924126,10.744794539535633,42.0,66.0,79.0,87.0,94.0,100.0,100.0
wx_avg_relative_humidity,635121.0,68.90617142245335,11.423938742235118,31.0,49.0,61.5,69.0,77.0,87.5,100.0
wx_precip_amount_any,646447.0,2.4466565704535714,6.182570053117373,0.0,0.0,0.0,0.0,1.8,14.0,128.3
