year_month,dry,precip
2014-01,1873,2726
2014-02,2351,2313
2014-03,2986,1427
2014-04,2349,1541
2014-05,2592,1810
2014-06,2902,1697
2014-07,2223,1962
2014-08,2814,1115
2014-09,3083,1491
2014-10,2536,2393
2014-11,2495,2340
2014-12,2712,1880
2015-01,2551,2347
2015-02,2936,2582
2015-03,3082,1324
2015-04,2397,1844
2015-05,3555,1382
2015-06,2736,2105
2015-07,4443,801
2015-08,3773,888
2015-09,3631,1521
2015-10,2514,2674
2015-11,2790,2226
2015-12,2873,1878
2016-01,2257,2711
2016-02,2489,2047
2016-03,2265,2295
2016-04,3080,1770
2016-05,3553,1590
2016-06,4049,1283
2016-07,2908,2137
2016-08,3909,1295
2016-09,3875,1481
2016-10,3642,1853
2016-11,2998,2545
2016-12,2398,3580
2017-01,2532,2173
2017-02,2908,1547
2017-03,2756,2176
2017-04,2516,2414
2017-05,2459,3189
2017-06,2555,3300
2017-07,3429,1777
2017-08,2885,2366
2017-09,4710,933
2017-10,3423,2306
2017-11,3144,2667
2017-12,2821,3415
2018-01,2723,3172
2018-02,2759,2231
2018-03,3128,1570
2018-04,1903,2744
2018-05,3952,1678
2018-06,3899,1515
2018-07,3495,1623
2018-08,3031,2205
2018-09,3666,1692
2018-10,1922,3667
2018-11,2664,3482
2018-12,2445,2911
2019-01,2012,4010
2019-02,1884,3571
2019-03,3637,1673
2019-04,2016,2487
2019-05,2284,3291
2019-06,3514,2161
2019-07,2964,2298
2019-08,3799,1610
2019-09,2814,2229
2019-10,2873,2540
2019-11,2951,2764
2019-12,2922,2683
2020-01,2546,2389
2020-02,2045,2775
2020-03,1636,1343
2020-04,774,391
2020-05,1105,831
2020-06,2111,613
2020-07,2138,880
2020-08,2259,899
2020-09,2137,1051
2020-10,1421,1696
2020-11,1912,930
2020-12,1031,1502
2021-01,1176,827
2021-02,959,1249
2021-03,1754,593
2021-04,852,1050
2021-05,2013,396
2021-06,1770,1204
2021-07,2021,1070
2021-08,2427,999
2021-09,2207,1398
2021-10,1733,2117
2021-11,2169,2020
2021-12,1814,1881
2022-01,2401,1368
2022-02,1782,2237
2022-03,1632,1752
2022-04,1538,1784
2022-05,2403,1448
2022-06,2978,1230
2022-07,3303,708
2022-08,2581,1568
2022-09,3128,1295
2022-10,2599,1882
2022-11,2431,1958
2022-12,2784,1917
2023-01,1360,2848
2023-02,2121,1975
2023-03,2357,2351
2023-04,2352,2073
2023-05,3922,1120
2023-06,2886,2220
2023-07,2111,2763
2023-08,3095,1600
2023-09,4053,889
2023-10,2729,2358
2023-11,2938,2088
2023-12,2211,2729
2024-01,2128,2682
2024-02,3107,1256
2024-03,2581,2173
2024-04,2308,2083
2024-05,3188,1992
2024-06,2418,2646
2024-07,3076,1845
2024-08,2959,1757
2024-09,3613,1555
2024-10,3646,1522
2024-11,3080,1738
2024-12,2382,2981
2025-01,2063,2481
2025-02,2331,2998
2025-03,2773,1409
2025-04,3074,1462
2025-05,2562,2184
2025-06,3562,1125
2025-07,4291,567
2025-08,4727,0
2025-09,4213,0
