,count,mean,std,min,25%,50%,75%,max
wx_precipitation,772516.0,2.4084277866089505,6.166313725088733,0.0,0.0,0.0,1.6,128.3
wx_rain,772516.0,1.9939734581549118,5.914109797397925,0.0,0.0,0.0,0.6,128.3
wx_snow,772516.0,0.4409335211180092,1.9482911177138655,0.0,0.0,0.0,0.0,29.2
wx_snow_on_ground,204154.0,5.8625057554591145,7.998875316037404,0.0,0.0,2.0,9.0,50.0
wx_max_temperature,759071.0,13.517135287739883,11.724153137194543,-19.1,3.6,14.2,24.0,36.0
wx_min_temperature,759071.0,4.4065498484331505,10.47271244472969,-26.3,-2.9,4.5,13.7,25.0
wx_avg_temperature,759071.0,8.961042827350802,10.972881636605845,-22.3,0.45,9.05,18.8,30.45
wx_max_wind_speed,759071.0,28.58149896386504,9.884044270466365,8.0,21.0,27.0,35.0,80.0
wx_avg_hourly_wind_speed,759071.0,16.416440859945908,6.441119508158312,4.88,11.46,15.21,20.25,45.88
wx_precip_day,772516.0,0.41460759388802304,0.4926544947096263,0.0,0.0,0.0,1.0,1.0
wx_precip_amount_any,772516.0,2.454461007927344,6.209655556857582,0.0,0.0,0.0,1.8,128.3
