site_id,x_coord,y_coord
3072,634304.0,4844231.0
2616,630804.0,4833231.0
2680,631304.0,4834231.0
2271,627804.0,4846731.0
2956,633304.0,4848231.0
2493,629804.0,4833731.0
1215,619304.0,4845731.0
4073,642304.0,4848731.0
3321,636304.0,4844731.0
1581,622304.0,4842731.0
3014,633804.0,4846231.0
4388,644804.0,4851231.0
2429,629304.0,4832731.0
2557,630304.0,4834731.0
2520,629804.0,4847231.0
3757,639804.0,4845731.0
2994,633804.0,4836231.0
3516,637804.0,4849231.0
1331,620304.0,4841731.0
4505,645804.0,4847731.0
1639,622804.0,4840731.0
4131,642804.0,4846731.0
2621,630804.0,4835731.0
2810,632304.0,4837231.0
3142,634804.0,4848231.0
2311,628304.0,4835731.0
3006,633804.0,4842231.0
2498,629804.0,4836231.0
2075,626304.0,4841731.0
3387,636804.0,4846731.0
2387,628804.0,4842731.0
2836,632304.0,4850231.0
3329,636304.0,4848731.0
2009,625804.0,4839731.0
1753,623804.0,4835731.0
1875,624804.0,4834731.0
2183,627304.0,4833731.0
3828,640304.0,4850231.0
3940,641304.0,4844231.0
3576,638304.0,4848231.0
2756,631804.0,4841231.0
1942,625304.0,4837231.0
1963,625304.0,4847731.0
811,616304.0,4829731.0
2685,631304.0,4836731.0
2744,631804.0,4835231.0
2252,627804.0,4837231.0
2306,628304.0,4833231.0
1828,624304.0,4842231.0
1998,625804.0,4834231.0
4014,641804.0,4850231.0
1695,623304.0,4837731.0
2021,625804.0,4845731.0
2320,628304.0,4840231.0
2947,633304.0,4843731.0
1123,618804.0,4830731.0
1568,622304.0,4836231.0
2384,628804.0,4841231.0
1892,624804.0,4843231.0
1310,620304.0,4831231.0
2869,632804.0,4835731.0
1884,624804.0,4839231.0
2507,629804.0,4840731.0
3699,639304.0,4847731.0
1755,623804.0,4836731.0
2997,633804.0,4837731.0
2443,629304.0,4839731.0
3084,634304.0,4850231.0
1871,624804.0,4832731.0
2707,631304.0,4847731.0
3441,637304.0,4842731.0
2370,628804.0,4834231.0
3117,634804.0,4835731.0
2247,627804.0,4834731.0
2118,626804.0,4832231.0
2058,626304.0,4833231.0
2434,629304.0,4835231.0
4203,643304.0,4851731.0
3508,637804.0,4845231.0
530,613804.0,4844231.0
4189,643304.0,4844731.0
2992,633804.0,4835231.0
2065,626304.0,4836731.0
1652,622804.0,4847231.0
1626,622804.0,4834231.0
2134,626804.0,4840231.0
2940,633304.0,4840231.0
2827,632304.0,4845731.0
3558,638304.0,4839231.0
3566,638304.0,4843231.0
3201,635304.0,4846731.0
2631,630804.0,4840731.0
3433,637304.0,4838731.0
1572,622304.0,4838231.0
2124,626804.0,4835231.0
2938,633304.0,4839231.0
1203,619304.0,4839731.0
2078,626304.0,4843231.0
2215,627304.0,4849731.0
1685,623304.0,4832731.0
2379,628804.0,4838731.0
2866,632804.0,4834231.0
1697,623304.0,4838731.0
2275,627804.0,4848731.0
3125,634804.0,4839731.0
2129,626804.0,4837731.0
342,612304.0,4843231.0
1559,622304.0,4831731.0
3824,640304.0,4848231.0
3261,635804.0,4845731.0
2001,625804.0,4835731.0
3493,637804.0,4837731.0
3367,636804.0,4836731.0
1888,624804.0,4841231.0
3308,636304.0,4838231.0
3458,637304.0,4851231.0
771,615804.0,4840731.0
967,617304.0,4845731.0
3193,635304.0,4842731.0
4019,641804.0,4852731.0
1464,621304.0,4846231.0
2188,627304.0,4836231.0
3634,638804.0,4846231.0
818,616304.0,4833231.0
2375,628804.0,4836731.0
1524,621804.0,4845231.0
1020,617804.0,4841231.0
1878,624804.0,4836231.0
1275,619804.0,4844731.0
3753,639804.0,4843731.0
3243,635804.0,4836731.0
2254,627804.0,4838231.0
3271,635804.0,4850731.0
3438,637304.0,4841231.0
2463,629304.0,4849731.0
767,615804.0,4838731.0
2562,630304.0,4837231.0
3400,636804.0,4853231.0
3122,634804.0,4838231.0
3512,637804.0,4847231.0
3770,639804.0,4852231.0
2874,632804.0,4838231.0
4006,641804.0,4846231.0
3460,637304.0,4852231.0
1128,618804.0,4833231.0
2439,629304.0,4837731.0
3898,640804.0,4854231.0
716,615304.0,4844231.0
1390,620804.0,4840231.0
3583,638304.0,4851731.0
